Content Name,Aggregated Popularity,Rank
cat_image27.jpg,8.434899999999999,1
cat_image12.jpg,7.3244,2
cat_image42.jpg,6.968,3
cat_image38.jpg,6.9024,4
cat_image40.jpg,6.684799999999999,5
cat_image15.jpg,6.5847999999999995,6
cat_image49.jpg,6.4402,7
dog_image30.jpg,6.3530999999999995,8
dog_image14.jpg,6.214599999999999,9
dog_image22.jpg,5.8522,10
dog_image20.jpg,5.8313999999999995,11
cat_image9.jpg,5.7067,12
cat_image31.jpg,5.568199999999999,13
dog_image49.jpg,5.568199999999999,14
cat_image30.jpg,5.475,15
dog_image21.jpg,5.475,16
dog_image10.jpg,5.238099999999999,17
cat_image34.jpg,5.2242999999999995,18
cat_image14.jpg,5.2242999999999995,19
dog_image39.jpg,5.2242999999999995,20
dog_image11.jpg,5.1728,21
dog_image17.jpg,5.150899999999999,22
dog_image38.jpg,5.131099999999999,23
cat_image46.jpg,5.1011,24
dog_image48.jpg,5.0996,25
dog_image45.jpg,5.099599999999999,26
cat_image20.jpg,4.9533,27
cat_image13.jpg,4.8942,28
cat_image1.jpg,4.763299999999999,29
dog_image40.jpg,4.7557,30
dog_image8.jpg,4.755699999999999,31
dog_image13.jpg,4.690099999999999,32
dog_image42.jpg,4.6094,33
cat_image23.jpg,4.5386,34
cat_image24.jpg,4.4847,35
dog_image9.jpg,4.4191,36
cat_image4.jpg,4.3462,37
dog_image25.jpg,4.3462,38
dog_image16.jpg,4.3462,39
dog_image12.jpg,4.338399999999999,40
dog_image18.jpg,4.2947,41
dog_image23.jpg,4.2806,42
cat_image39.jpg,4.272799999999999,43
dog_image43.jpg,4.1998999999999995,44
cat_image35.jpg,4.1484,45
cat_image50.jpg,4.1484,46
cat_image10.jpg,4.0828,47
dog_image7.jpg,4.0752,48
cat_image28.jpg,4.0706,49
cat_image43.jpg,4.0096,50
cat_image37.jpg,3.9828,51
cat_image25.jpg,3.9367,52
cat_image18.jpg,3.9289,53
dog_image50.jpg,3.9289,54
dog_image3.jpg,3.8928000000000003,55
dog_image32.jpg,3.8852,56
cat_image48.jpg,3.8852,57
dog_image27.jpg,3.8698,58
cat_image3.jpg,3.7389,59
cat_image45.jpg,3.7313,60
dog_image1.jpg,3.7313,61
dog_image2.jpg,3.6657,62
dog_image37.jpg,3.6142000000000003,63
cat_image41.jpg,3.585,64
cat_image6.jpg,3.5413,65
dog_image15.jpg,3.4603,66
cat_image19.jpg,3.4603,67
cat_image47.jpg,3.4603,68
cat_image7.jpg,3.4413000000000005,69
dog_image41.jpg,3.3242000000000003,70
cat_image29.jpg,3.3218,71
cat_image2.jpg,3.295,72
dog_image46.jpg,3.1703,73
cat_image36.jpg,3.1164,74
dog_image34.jpg,3.1164,75
dog_image35.jpg,3.0508,76
cat_image8.jpg,3.0318000000000005,77
cat_image5.jpg,2.9803,78
cat_image21.jpg,2.9264,79
cat_image32.jpg,2.9264,80
dog_image28.jpg,2.8993,81
cat_image44.jpg,2.8608000000000002,82
dog_image36.jpg,2.7608,83
dog_image47.jpg,2.6708000000000003,84
dog_image5.jpg,2.5169,85
cat_image16.jpg,2.4359,86
dog_image6.jpg,2.4169,87
dog_image4.jpg,2.3844,88
cat_image11.jpg,2.363,89
dog_image44.jpg,2.2459000000000002,90
cat_image33.jpg,2.2459000000000002,91
dog_image33.jpg,2.2098000000000004,92
cat_image17.jpg,2.0559000000000003,93
cat_image22.jpg,1.9020000000000001,94
dog_image24.jpg,1.8659000000000003,95
dog_image19.jpg,1.7120000000000002,96
dog_image31.jpg,1.6310000000000002,97
dog_image26.jpg,1.6120000000000003,98
cat_image26.jpg,1.4410000000000003,99
dog_image29.jpg,1.4410000000000003,100
