iteration,path_name,manual_chosen_router,manual_chosen_avg
1,path_Router13_to_Router1,Router13,0.7913174841213833
2,path_Router13_to_Router1,Router13,0.8255097523651059
3,path_Router13_to_Router1,Router13,0.7632335971323114
4,path_Router13_to_Router1,Router13,0.7942807656358667
5,path_Router13_to_Router1,Router13,0.8003833987037683
6,path_Router13_to_Router1,Router10,0.7615617430828182
7,path_Router13_to_Router1,Router13,0.8081428781210958
8,path_Router13_to_Router1,Router4,0.7512417666833517
9,path_Router13_to_Router1,Router13,0.7614743906841184
10,path_Router13_to_Router1,Router13,0.8243798413439104
11,path_Router13_to_Router1,Router13,0.8072210102578601
12,path_Router13_to_Router1,Router13,0.8142801209753135
13,path_Router13_to_Router1,Router13,0.786950725422599
14,path_Router13_to_Router1,Router10,0.695859872611465
15,path_Router13_to_Router1,Router13,0.7293409137070679
16,path_Router13_to_Router1,Router13,0.7025549763857102
17,path_Router13_to_Router1,Router10,0.708916083916084
18,path_Router13_to_Router1,Router10,0.7413194444444444
19,path_Router13_to_Router1,Router13,0.7787087409254501
20,path_Router13_to_Router1,Router4,0.7403202436412352
21,path_Router13_to_Router1,Router13,0.8356097181124436
22,path_Router13_to_Router1,Router13,0.7783387173608837
23,path_Router13_to_Router1,Router10,0.6904411764705882
24,path_Router13_to_Router1,Router13,0.8024291177794631
25,path_Router13_to_Router1,Router13,0.8079831417170568
26,path_Router13_to_Router1,Router10,0.7287234042553191
27,path_Router13_to_Router1,Router13,0.7944473981092111
28,path_Router13_to_Router1,Router10,0.7081539264489894
29,path_Router13_to_Router1,Router13,0.8096367126675419
30,path_Router13_to_Router1,Router13,0.7695877749587478
31,path_Router13_to_Router1,Router13,0.8296384388834077
32,path_Router13_to_Router1,Router10,0.7080838323353293
33,path_Router13_to_Router1,Router4,0.7882796687143262
34,path_Router13_to_Router1,Router13,0.782399325110089
35,path_Router13_to_Router1,Router13,0.7870442061208475
36,path_Router13_to_Router1,Router13,0.7731988945156181
37,path_Router13_to_Router1,Router13,0.787507270913299
38,path_Router13_to_Router1,Router13,0.8281300289668491
39,path_Router13_to_Router1,Router4,0.7395184654430491
40,path_Router13_to_Router1,Router13,0.7491498292038844
41,path_Router13_to_Router1,Router10,0.75
42,path_Router13_to_Router1,Router13,0.7750688492213853
43,path_Router13_to_Router1,Router13,0.75
44,path_Router13_to_Router1,Router13,0.7836310957664118
45,path_Router13_to_Router1,Router4,0.7396854566929768
46,path_Router13_to_Router1,Router13,0.7860624503053577
47,path_Router13_to_Router1,Router13,0.8209987057406185
48,path_Router13_to_Router1,Router13,0.8117484009322621
49,path_Router13_to_Router1,Router13,0.8042521965327004
50,path_Router13_to_Router1,Router13,0.8224205774570112
51,path_Router13_to_Router1,Router13,0.7857282209957202
52,path_Router13_to_Router1,Router13,0.809123158426777
53,path_Router13_to_Router1,Router13,0.8318343334347261
54,path_Router13_to_Router1,Router4,0.7308293211790622
55,path_Router13_to_Router1,Router13,0.7912959165196299
56,path_Router13_to_Router1,Router13,0.7401435400126845
57,path_Router13_to_Router1,Router10,0.738556338028169
58,path_Router13_to_Router1,Router13,0.8151361371095174
59,path_Router13_to_Router1,Router4,0.7626764028685549
60,path_Router13_to_Router1,Router13,0.7675274298092074
61,path_Router13_to_Router1,Router13,0.7966725213886213
62,path_Router13_to_Router1,Router13,0.7647044973930017
63,path_Router13_to_Router1,Router13,0.7923787158195288
64,path_Router13_to_Router1,Router13,0.758634753611858
65,path_Router13_to_Router1,Router10,0.6703869047619048
66,path_Router13_to_Router1,Router13,0.7909490504246134
67,path_Router13_to_Router1,Router13,0.8378061526190574
68,path_Router13_to_Router1,Router13,0.7867576398231789
69,path_Router13_to_Router1,Router13,0.7702279585356855
70,path_Router13_to_Router1,Router13,0.7687983347109762
71,path_Router13_to_Router1,Router13,0.8379884641616956
72,path_Router13_to_Router1,Router13,0.8000425754896181
73,path_Router13_to_Router1,Router13,0.7824268809327826
74,path_Router13_to_Router1,Router13,0.8009542164936633
75,path_Router13_to_Router1,Router13,0.8107009651492753
76,path_Router13_to_Router1,Router10,0.713076923076923
77,path_Router13_to_Router1,Router10,0.7162247989193498
78,path_Router13_to_Router1,Router4,0.7861727580177872
79,path_Router13_to_Router1,Router10,0.668939393939394
80,path_Router13_to_Router1,Router13,0.8360130206781263
81,path_Router13_to_Router1,Router4,0.7162451332871392
82,path_Router13_to_Router1,Router13,0.7992255709652444
83,path_Router13_to_Router1,Router4,0.7999952909999644
84,path_Router13_to_Router1,Router13,0.7036040731156957
85,path_Router13_to_Router1,Router4,0.7141079428710535
86,path_Router13_to_Router1,Router13,0.8086315065166356
87,path_Router13_to_Router1,Router13,0.7434871631890422
88,path_Router13_to_Router1,Router13,0.79751981113138
89,path_Router13_to_Router1,Router13,0.8075405209761045
90,path_Router13_to_Router1,Router13,0.709779821557611
91,path_Router13_to_Router1,Router13,0.8184886840403084
92,path_Router13_to_Router1,Router13,0.7887564072153435
93,path_Router13_to_Router1,Router13,0.6913130243544842
94,path_Router13_to_Router1,Router13,0.7879843164314491
95,path_Router13_to_Router1,Router10,0.6990909090909091
96,path_Router13_to_Router1,Router13,0.786596731034278
97,path_Router13_to_Router1,Router13,0.8235845070156839
98,path_Router13_to_Router1,Router13,0.7701429943530892
99,path_Router13_to_Router1,Router13,0.7362858761105906
100,path_Router13_to_Router1,Router13,0.8166780132392775
