router,selections
Router25,3
Router2,4
Router1,9
Router23,9
Router4,9
Router5,9
Router18,11
Router12,5
Router27,7
Router28,10
Router19,12
Router24,8
Router6,11
Router30,11
Router10,14
Router21,6
Router26,10
Router13,5
Router29,14
Router11,9
Router32,4
Router16,6
Router20,2
Router17,13
Router7,7
Router22,6
Router15,5
Router14,8
Router9,2
Router8,5
Router31,7
Router3,9
