Router,Closeness,Reach_raw,Reach_norm,Degree,Betweenness,CMBA,CacheOccupy,CHR,Latency
Router20,0.1172638436482084,8.320281515869752,0.4228819538199737,0.0555555555555555,0.5714285714285714,0.2917824811130773,0.0,,
Router17,0.108433734939759,8.053708219884692,0.3826368627543526,0.0555555555555555,0.492063492063492,0.2596724113282898,0.0,,
Router14,0.1002785515320334,7.7833239258161875,0.3418164178658649,0.0555555555555555,0.4063492063492063,0.225999932825665,0.0,,
Router11,0.0927835051546391,7.483177726985779,0.2965027600957077,0.0555555555555555,0.3142857142857143,0.1897818837729041,0.0,,
Router8,0.0859188544152744,7.114130107938158,0.2407869203630041,0.0555555555555555,0.2158730158730158,0.1495335865517125,0.0,,
Router5,0.079646017699115,6.589021882829933,0.1615103061744186,0.0555555555555555,0.1111111111111111,0.1019557476350501,0.0,,
Router2,0.0739219712525667,5.571894083093437,0.0079525359765203,0.0277777777777777,0.0,0.0274130712517162,0.0,,
