episode,iteration,selected_router_index,selected_router_name,chr,latency_ms,cache_occupancy,cmba
1,1,24,Router25,0.0,0.0,0.0,0.0
1,2,1,Router2,0.0,0.0,0.0,0.0
1,3,1,Router2,0.0,0.0,0.0,0.0
1,4,0,Router1,0.0,0.0,0.0,0.0
1,5,22,Router23,0.0,0.0,0.0,0.0
1,6,3,Router4,0.0,0.0,0.0,0.0
1,7,4,Router5,0.0,0.0,0.0,0.0
1,8,17,Router18,0.0,0.0,0.0,0.0
1,9,11,Router12,0.0,0.0,0.0,0.0
1,10,1,Router2,0.0,0.0,0.0,0.0
1,11,26,Router27,0.0,0.0,0.0,0.0
1,12,27,Router28,0.0,0.0,0.0,0.0
1,13,0,Router1,0.0,0.0,0.0,0.0
1,14,18,Router19,0.0,0.0,0.0,0.0
1,15,22,Router23,0.0,0.0,0.0,0.0
1,16,23,Router24,0.0,0.0,0.0,0.0
1,17,5,Router6,0.0,0.0,0.0,0.0
1,18,17,Router18,0.0,0.0,0.0,0.0
1,19,4,Router5,0.0,0.0,0.0,0.0
1,20,29,Router30,0.0,0.0,0.0,0.0
1,21,9,Router10,0.0,0.0,0.0,0.0
1,22,29,Router30,0.0,0.0,0.0,0.0
1,23,22,Router23,0.0,0.0,0.0,0.0
1,24,5,Router6,0.0,0.0,0.0,0.0
1,25,20,Router21,0.0,0.0,0.0,0.0
1,26,25,Router26,0.0,0.0,0.0,0.0
1,27,12,Router13,0.0,0.0,0.0,0.0
1,28,26,Router27,0.0,0.0,0.0,0.0
1,29,28,Router29,0.0,0.0,0.0,0.0
1,30,10,Router11,0.0,0.0,0.0,0.0
1,31,20,Router21,0.0,0.0,0.0,0.0
1,32,18,Router19,0.0,0.0,0.0,0.0
1,33,31,Router32,0.0,0.0,0.0,0.0
1,34,15,Router16,0.0,0.0,0.0,0.0
1,35,18,Router19,0.0,0.0,0.0,0.0
1,36,19,Router20,0.0,0.0,0.0,0.0
1,37,28,Router29,0.0,0.0,0.0,0.0
1,38,29,Router30,0.0,0.0,0.0,0.0
1,39,16,Router17,0.0,0.0,0.0,0.0
1,40,18,Router19,0.0,0.0,0.0,0.0
1,41,29,Router30,0.0,0.0,0.0,0.0
1,42,6,Router7,0.0,0.0,0.0,0.0
1,43,23,Router24,0.0,0.0,0.0,0.0
1,44,28,Router29,0.0,0.0,0.0,0.0
1,45,9,Router10,0.0,0.0,0.0,0.0
1,46,22,Router23,0.0,0.0,0.0,0.0
1,47,10,Router11,0.0,0.0,0.0,0.0
1,48,21,Router22,0.0,0.0,0.0,0.0
1,49,21,Router22,0.0,0.0,0.0,0.0
1,50,3,Router4,0.0,0.0,0.0,0.0
2,1,17,Router18,0.0,0.0,0.0,0.0
2,2,14,Router15,0.0,0.0,0.0,0.0
2,3,4,Router5,0.0,0.0,0.0,0.0
2,4,23,Router24,0.0,0.0,0.0,0.0
2,5,20,Router21,0.0,0.0,0.0,0.0
