iteration,path_name,manual_chosen_router,manual_chosen_avg
1,path_Router3_to_Router9,Router3,0.75
2,path_Router3_to_Router9,Router9,0.75
3,path_Router3_to_Router9,Router3,0.75
4,path_Router3_to_Router9,Router9,0.75
5,path_Router3_to_Router9,Router9,0.75
6,path_Router3_to_Router9,Router9,0.7065426806293145
7,path_Router3_to_Router9,Router9,0.75
8,path_Router3_to_Router9,Router3,0.75
9,path_Router3_to_Router9,Router3,0.7319203650939295
10,path_Router3_to_Router9,Router9,0.75
11,path_Router3_to_Router9,Router9,0.7349376178152657
12,path_Router3_to_Router9,Router3,0.7426593959731544
13,path_Router3_to_Router9,Router3,0.75
14,path_Router3_to_Router9,Router3,0.7388022766641921
15,path_Router3_to_Router9,Router3,0.75
16,path_Router3_to_Router9,Router3,0.7009097421203438
17,path_Router3_to_Router9,Router9,0.7418079614780355
18,path_Router3_to_Router9,Router9,0.75
19,path_Router3_to_Router9,Router9,0.7384760948482274
20,path_Router3_to_Router9,Router9,0.75
21,path_Router3_to_Router9,Router9,0.7437064563115315
22,path_Router3_to_Router9,Router9,0.75
23,path_Router3_to_Router9,Router9,0.75
24,path_Router3_to_Router9,Router9,0.75
25,path_Router3_to_Router9,Router9,0.75
26,path_Router3_to_Router9,Router9,0.75
27,path_Router3_to_Router9,Router9,0.75
28,path_Router3_to_Router9,Router9,0.75
29,path_Router3_to_Router9,Router9,0.7407958145976815
30,path_Router3_to_Router9,Router9,0.73962765203086
31,path_Router3_to_Router9,Router3,0.7334030946581123
32,path_Router3_to_Router9,Router9,0.7081721567645705
33,path_Router3_to_Router9,Router9,0.75
34,path_Router3_to_Router9,Router9,0.75
35,path_Router3_to_Router9,Router3,0.7214611159655474
36,path_Router3_to_Router9,Router9,0.7133078219545216
37,path_Router3_to_Router9,Router9,0.7209771059261694
38,path_Router3_to_Router9,Router9,0.75
39,path_Router3_to_Router9,Router9,0.7481061425132264
40,path_Router3_to_Router9,Router9,0.7286863805639298
41,path_Router3_to_Router9,Router9,0.75
42,path_Router3_to_Router9,Router9,0.75
43,path_Router3_to_Router9,Router9,0.75
44,path_Router3_to_Router9,Router9,0.75
45,path_Router3_to_Router9,Router3,0.75
46,path_Router3_to_Router9,Router9,0.75
47,path_Router3_to_Router9,Router9,0.7172664458340909
48,path_Router3_to_Router9,Router9,0.75
49,path_Router3_to_Router9,Router9,0.75
50,path_Router3_to_Router9,Router3,0.75
51,path_Router3_to_Router9,Router9,0.75
52,path_Router3_to_Router9,Router9,0.75
53,path_Router3_to_Router9,Router3,0.7352459016393443
54,path_Router3_to_Router9,Router9,0.75
55,path_Router3_to_Router9,Router9,0.75
56,path_Router3_to_Router9,Router9,0.75
57,path_Router3_to_Router9,Router9,0.75
58,path_Router3_to_Router9,Router3,0.7094135918438917
59,path_Router3_to_Router9,Router3,0.6972069403300889
60,path_Router3_to_Router9,Router9,0.75
61,path_Router3_to_Router9,Router9,0.7140419252734379
62,path_Router3_to_Router9,Router9,0.75
63,path_Router3_to_Router9,Router3,0.7352159168439218
64,path_Router3_to_Router9,Router9,0.75
65,path_Router3_to_Router9,Router3,0.75
66,path_Router3_to_Router9,Router9,0.75
67,path_Router3_to_Router9,Router9,0.75
68,path_Router3_to_Router9,Router9,0.75
69,path_Router3_to_Router9,Router3,0.75
70,path_Router3_to_Router9,Router9,0.75
71,path_Router3_to_Router9,Router9,0.75
72,path_Router3_to_Router9,Router9,0.75
73,path_Router3_to_Router9,Router9,0.75
74,path_Router3_to_Router9,Router3,0.75
75,path_Router3_to_Router9,Router3,0.75
76,path_Router3_to_Router9,Router9,0.75
77,path_Router3_to_Router9,Router9,0.75
78,path_Router3_to_Router9,Router3,0.7458160563521007
79,path_Router3_to_Router9,Router9,0.7366304654774791
80,path_Router3_to_Router9,Router9,0.75
81,path_Router3_to_Router9,Router9,0.6947269283457742
82,path_Router3_to_Router9,Router9,0.75
83,path_Router3_to_Router9,Router3,0.7254649755131239
84,path_Router3_to_Router9,Router9,0.75
85,path_Router3_to_Router9,Router9,0.7304768967997123
86,path_Router3_to_Router9,Router3,0.75
87,path_Router3_to_Router9,Router3,0.7430168701355141
88,path_Router3_to_Router9,Router3,0.75
89,path_Router3_to_Router9,Router9,0.75
90,path_Router3_to_Router9,Router3,0.734382400926267
91,path_Router3_to_Router9,Router9,0.75
92,path_Router3_to_Router9,Router3,0.7098830684102002
93,path_Router3_to_Router9,Router9,0.75
94,path_Router3_to_Router9,Router9,0.75
95,path_Router3_to_Router9,Router3,0.7295006752311367
96,path_Router3_to_Router9,Router3,0.75
97,path_Router3_to_Router9,Router9,0.75
98,path_Router3_to_Router9,Router3,0.7420465635020215
99,path_Router3_to_Router9,Router9,0.75
100,path_Router3_to_Router9,Router9,0.75
