iteration,CHR,Latency,HopReduction,DetectionCost,PredictionTime,Accuracy
1,0.802817,67.224069,0.84514382,0.0011999945854768157,98.9259000052698,1.0
2,0.976598,20.008445,0.7665659,0.0008999995770864189,98.61719999753404,1.0
3,0.785555,23.272505,0.7761815599999999,0.0008999995770864189,98.11110000009649,1.0
4,0.832101,2.198264,0.6568459200000001,0.0011000010999850929,114.17449999862583,1.0
5,0.834712,79.24192,0.87485974,0.0005999972927384079,98.55480000260286,1.0
6,0.786533,43.041277,0.91086248,0.0005999972927384079,97.39260000060312,1.0
7,0.849536,13.178606,0.81350492,0.0005999972927384079,87.51240000128746,1.0
8,0.824591,54.606536,0.79401836,0.000600004568696022,93.44309999869438,1.0
9,0.795326,54.277918,0.77544506,0.0006999980541877449,86.49080000031972,1.0
10,0.948133,2.60062,0.65334196,0.0008999995770864189,93.29599999909988,1.0
11,0.975459,71.186418,0.93289914,0.0006999980541877449,85.83859999635024,1.0
12,0.967578,79.177393,0.9610614000000001,0.0006999980541877449,111.12019999563927,1.0
13,0.973147,57.458967,0.927415,0.0010000003385357559,129.565499999444,1.0
14,0.69908,52.978702,0.8516997800000001,0.0006999980541877449,97.99389999534469,1.0
15,0.966299,143.786078,0.7909847600000001,0.0005999972927384079,97.2057999970275,1.0
16,0.746774,50.168954,0.79038674,0.0005999972927384079,131.43590000254335,1.0
17,0.933727,36.54995,0.7433113600000001,0.0008999995770864189,97.67119999742135,1.0
18,0.853586,29.743329,0.82567076,0.0008999995770864189,356.0132999991765,1.0
19,0.860595,12.985411,0.74065158,0.0010000003385357559,131.74219999928027,1.0
20,0.908868,70.192137,0.9523401,0.0005999972927384079,98.14779999578604,1.0
21,0.831584,16.95612,0.9028326799999999,0.0004999965312890708,98.1956000032369,1.0
22,0.656157,23.18574,0.5708726399999999,0.0006999980541877449,99.60509999655187,1.0
23,0.863595,76.032868,0.92127708,0.0007999988156370819,113.87879999529105,1.0
24,0.943012,17.529304,0.97165672,0.0006999980541877449,95.64970000064932,1.0
25,0.947697,3.466656,0.80979384,0.000800006091594696,88.17000000271946,1.0
26,0.966905,39.031409,0.85820108,0.006599999323952943,89.73859999969136,1.0
27,0.97867,9.665992,0.72159844,0.0006999980541877449,110.0635999973747,1.0
28,0.723137,72.628746,0.8200916,0.0004999965312890708,87.67850000003818,0.0
29,0.829915,26.962599,0.9270571599999999,0.0012000018614344299,90.32839999417774,1.0
30,0.910695,53.021014,0.78024444,0.0034999975468963385,101.30729999946197,1.0
31,0.591233,70.687684,0.8098707199999999,0.0005999972927384079,98.17299999849638,1.0
32,0.807088,13.622281,0.6136232800000001,0.000700005330145359,88.05160000338219,1.0
33,0.938396,153.866284,0.89338958,0.6024999966030009,90.92660000169417,1.0
34,0.586111,60.408632,0.8344444,0.017899998056236655,85.40769999672193,1.0
35,0.9052,5.011464,0.78472534,0.0010000003385357559,97.80650000175228,1.0
36,0.749835,77.206816,0.87137772,0.0008999995770864189,114.5327999984147,1.0
37,1.0,35.59621,0.9959843199999999,0.0006999980541877449,97.88490000210004,0.0
38,0.941058,53.472649,0.83373294,0.0006999980541877449,87.25209999829531,1.0
39,0.971333,78.537695,0.97285904,0.0011000010999850929,86.13359999435488,1.0
40,0.90563,155.198438,0.9211907,0.0005999972927384079,96.23179999471176,1.0
41,0.926394,109.159489,0.95451762,0.0004999965312890708,98.32319999986794,1.0
42,0.801946,127.207856,0.89724784,0.0005999972927384079,85.12160000100266,1.0
43,0.569634,6.029028,0.81200334,0.0005999972927384079,111.55389999476029,1.0
44,0.653643,9.152111,0.8346699,0.000800006091594696,88.81240000482649,1.0
45,0.955658,26.139399,0.6218756599999999,0.0008999995770864189,100.04779999871971,0.0
46,0.908674,40.393635,0.9245102199999999,0.0005999972927384079,97.27510000084294,1.0
47,0.690852,9.297007,0.44582286,0.000600004568696022,87.71640000486514,0.0
48,0.762896,44.726497,0.7829098400000001,0.0012000018614344299,100.26440000365255,1.0
49,0.958136,12.55008,0.74905568,0.0004999965312890708,99.88870000233874,1.0
50,0.904177,49.79048,0.68131996,0.0008999995770864189,104.59450000053039,1.0
