episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-10.343179090374518,-0.10343179090374517,0.0003314978886373865,0.8307187014821328
2,100,-7.279736100696656,-0.07279736100696656,0.00012322844221898777,0.5032248303978422
3,100,-4.8639912154908025,-0.048639912154908024,0.00014189509228572207,0.30483872516307353
4,100,-2.700256381227667,-0.027002563812276673,0.00014810572399028387,0.1846622876013121
5,100,-1.2036823595700512,-0.012036823595700512,0.0001544218019807886,0.11186295456362313
6,100,-0.39480307931418557,-0.003948030793141856,0.0001532534485204451,0.0677632708131484
7,100,-0.5513501939317066,-0.005513501939317066,0.0001459427543761649,0.05
8,100,-0.4550108287589013,-0.004550108287589013,0.00013582254455570819,0.05
9,100,-0.4629101664013498,-0.004629101664013498,0.0001784722224043378,0.05
10,100,-0.23278553900965787,-0.0023278553900965785,0.0001286836962701443,0.05
