router,selections
Router10,11
Router11,15
Router2,9
Router26,5
Router18,8
Router12,9
Router15,7
Router17,6
Router31,7
Router1,738
Router27,10
Router24,9
Router8,6
Router22,13
Router13,10
Router19,10
Router3,9
Router29,7
Router30,11
Router23,9
Router7,10
Router25,8
Router6,9
Router16,7
Router9,14
Router14,5
Router20,11
Router32,6
Router28,9
Router4,5
Router5,5
Router21,2
