router,selections
Router21,7
Router22,5
Router27,15
Router18,8
Router30,10
Router1,11
Router32,8
Router7,7
Router24,7
Router29,11
Router2,8
Router10,739
Router4,9
Router13,6
Router25,8
Router6,6
Router19,14
Router15,14
Router26,14
Router23,7
Router16,8
Router31,7
Router14,5
Router11,6
Router3,12
Router5,6
Router8,6
Router12,3
Router9,4
Router28,13
Router20,7
Router17,9
