iteration,path_name,manual_chosen_router,manual_chosen_avg
1,path_Router1_to_Router19,Router19,0.9527842899107446
2,path_Router1_to_Router19,Router19,0.9727575473250382
3,path_Router1_to_Router19,Router19,0.952867466750821
4,path_Router1_to_Router19,Router19,0.9686520365204666
5,path_Router1_to_Router19,Router19,1.0
6,path_Router1_to_Router19,Router19,0.9520070330373436
7,path_Router1_to_Router19,Router19,0.9876972546725382
8,path_Router1_to_Router19,Router19,0.9952585375980545
9,path_Router1_to_Router19,Router19,0.94715248137547
10,path_Router1_to_Router19,Router19,0.9593407652282194
11,path_Router1_to_Router19,Router19,0.9355942480942481
12,path_Router1_to_Router19,Router19,0.9171837618899007
13,path_Router1_to_Router19,Router19,0.9760545774415006
14,path_Router1_to_Router19,Router19,0.9455439397977832
15,path_Router1_to_Router19,Router19,0.962701777852849
16,path_Router1_to_Router19,Router19,0.9444612441806495
17,path_Router1_to_Router19,Router19,0.9616903257500523
18,path_Router1_to_Router19,Router19,0.9967131989068616
19,path_Router1_to_Router19,Router19,0.9792950226271321
20,path_Router1_to_Router19,Router19,0.9813085115130649
21,path_Router1_to_Router19,Router19,0.9740348167978621
22,path_Router1_to_Router19,Router19,0.957229167912903
23,path_Router1_to_Router19,Router19,0.9940468305339466
24,path_Router1_to_Router19,Router19,0.9815796862835191
25,path_Router1_to_Router19,Router19,0.9828916019273788
26,path_Router1_to_Router19,Router19,0.9738048703876592
27,path_Router1_to_Router19,Router19,0.9360902431757027
28,path_Router1_to_Router19,Router19,0.9436244177376949
29,path_Router1_to_Router19,Router19,0.9683668683438396
30,path_Router1_to_Router19,Router19,0.9675690214625585
31,path_Router1_to_Router19,Router19,0.9515740274983233
32,path_Router1_to_Router19,Router19,0.9411431531050707
33,path_Router1_to_Router19,Router19,0.9705541677781935
34,path_Router1_to_Router19,Router19,0.9446078496884182
35,path_Router1_to_Router19,Router19,0.9473030872699535
36,path_Router1_to_Router19,Router19,0.9824631446713958
37,path_Router1_to_Router19,Router19,0.9591491346919422
38,path_Router1_to_Router19,Router19,0.9617528472430223
39,path_Router1_to_Router19,Router19,0.9786806006262523
40,path_Router1_to_Router19,Router19,0.9727820380367562
41,path_Router1_to_Router19,Router19,0.9345225289785863
42,path_Router1_to_Router19,Router19,0.983593032487041
43,path_Router1_to_Router19,Router19,0.9844278653507336
44,path_Router1_to_Router19,Router19,0.9738583837776729
45,path_Router1_to_Router19,Router19,0.9582378743853375
46,path_Router1_to_Router19,Router19,0.9313886503063017
47,path_Router1_to_Router19,Router19,0.9403022894323566
48,path_Router1_to_Router19,Router19,0.9434120416706067
49,path_Router1_to_Router19,Router19,0.9776819304028523
50,path_Router1_to_Router19,Router19,0.9743450938824955
51,path_Router1_to_Router19,Router19,0.9508012062168456
52,path_Router1_to_Router19,Router19,0.9729848239368581
53,path_Router1_to_Router19,Router19,0.9845806888108508
54,path_Router1_to_Router19,Router19,0.9826593864740208
55,path_Router1_to_Router19,Router19,1.0
56,path_Router1_to_Router19,Router19,0.9640944117278536
57,path_Router1_to_Router19,Router19,0.9828303152246815
58,path_Router1_to_Router19,Router19,0.9406024096385542
59,path_Router1_to_Router19,Router19,0.9676412884794284
60,path_Router1_to_Router19,Router19,0.9547106378017023
61,path_Router1_to_Router19,Router19,0.973381420411328
62,path_Router1_to_Router19,Router19,0.9460927079385634
63,path_Router1_to_Router19,Router19,0.9776194295259657
64,path_Router1_to_Router19,Router19,0.9555415320629357
65,path_Router1_to_Router19,Router19,0.9448294208317845
66,path_Router1_to_Router19,Router19,1.0
67,path_Router1_to_Router19,Router19,0.9443879255367609
68,path_Router1_to_Router19,Router19,0.9261629126855211
69,path_Router1_to_Router19,Router19,0.9671241837541451
70,path_Router1_to_Router19,Router19,0.9456754758888106
71,path_Router1_to_Router19,Router19,0.9598690877615136
72,path_Router1_to_Router19,Router19,0.9311316660720019
73,path_Router1_to_Router19,Router19,0.9475706494794248
74,path_Router1_to_Router19,Router19,0.9694955097611871
75,path_Router1_to_Router19,Router19,0.9736522192016442
76,path_Router1_to_Router19,Router19,0.9547520419691204
77,path_Router1_to_Router19,Router19,0.9933463046071692
78,path_Router1_to_Router19,Router19,0.9671467242545229
79,path_Router1_to_Router19,Router19,0.9566100627836492
80,path_Router1_to_Router19,Router19,0.9929009392937902
81,path_Router1_to_Router19,Router19,0.9709769431587638
82,path_Router1_to_Router19,Router19,0.9739754359170166
83,path_Router1_to_Router19,Router19,0.9827537441133628
84,path_Router1_to_Router19,Router19,0.9482615885682358
85,path_Router1_to_Router19,Router19,0.9640689875439157
86,path_Router1_to_Router19,Router19,0.9519798870503857
87,path_Router1_to_Router19,Router19,0.9699129013529315
88,path_Router1_to_Router19,Router19,0.9424095976937641
89,path_Router1_to_Router19,Router19,0.9865256086813838
90,path_Router1_to_Router19,Router19,0.951866589804845
91,path_Router1_to_Router19,Router19,0.9810872488428021
92,path_Router1_to_Router19,Router19,1.0
93,path_Router1_to_Router19,Router19,0.9487634797567686
94,path_Router1_to_Router19,Router19,0.9643864188020523
95,path_Router1_to_Router19,Router19,0.9906537155034323
96,path_Router1_to_Router19,Router19,0.9261221635769075
97,path_Router1_to_Router19,Router19,0.9118435532621861
98,path_Router1_to_Router19,Router19,0.937238146826712
99,path_Router1_to_Router19,Router19,0.9258251963558581
100,path_Router1_to_Router19,Router19,0.9566325425588749
