episode,iteration,selected_router_index,selected_router_name,chr,latency_ms,cache_occupancy,cmba
1,1,14,Router15,0.0,0.0,0.0,0.0
1,2,30,Router31,0.0,0.0,0.0,0.0
1,3,13,Router14,0.0,0.0,0.0,0.0
1,4,1,Router2,0.0,0.0,0.0,0.0
1,5,26,Router27,0.0,0.0,0.0,0.0
1,6,0,Router1,0.0,0.0,0.0,0.0
1,7,3,Router4,0.0,0.0,0.0,0.0
1,8,19,Router20,0.0,0.0,0.0,0.0
1,9,23,Router24,0.0,0.0,0.0,0.0
1,10,28,Router29,0.0,0.0,0.0,0.0
1,11,10,Router11,0.0,0.0,0.0,0.0
1,12,1,Router2,0.0,0.0,0.0,0.0
1,13,2,Router3,0.0,0.0,0.0,0.0
1,14,15,Router16,0.0,0.0,0.0,0.0
1,15,25,Router26,0.0,0.0,0.0,0.0
1,16,9,Router10,0.0,0.0,0.0,0.0
1,17,19,Router20,0.0,0.0,0.0,0.0
1,18,3,Router4,0.0,0.0,0.0,0.0
1,19,0,Router1,0.0,0.0,0.0,0.0
1,20,18,Router19,0.0,0.0,0.0,0.0
1,21,23,Router24,0.0,0.0,0.0,0.0
1,22,13,Router14,0.0,0.0,0.0,0.0
1,23,25,Router26,0.0,0.0,0.0,0.0
1,24,15,Router16,0.0,0.0,0.0,0.0
1,25,7,Router8,0.0,0.0,0.0,0.0
1,26,13,Router14,0.0,0.0,0.0,0.0
1,27,17,Router18,0.0,0.0,0.0,0.0
1,28,26,Router27,0.0,0.0,0.0,0.0
1,29,5,Router6,0.0,0.0,0.0,0.0
1,30,28,Router29,0.0,0.0,0.0,0.0
1,31,11,Router12,0.0,0.0,0.0,0.0
1,32,24,Router25,0.0,0.0,0.0,0.0
1,33,26,Router27,0.0,0.0,0.0,0.0
1,34,19,Router20,0.0,0.0,0.0,0.0
1,35,0,Router1,0.0,0.0,0.0,0.0
1,36,8,Router9,0.0,0.0,0.0,0.0
1,37,28,Router29,0.0,0.0,0.0,0.0
1,38,10,Router11,0.0,0.0,0.0,0.0
1,39,27,Router28,0.0,0.0,0.0,0.0
1,40,7,Router8,0.0,0.0,0.0,0.0
1,41,29,Router30,0.0,0.0,0.0,0.0
1,42,3,Router4,0.0,0.0,0.0,0.0
1,43,16,Router17,0.0,0.0,0.0,0.0
1,44,4,Router5,0.0,0.0,0.0,0.0
1,45,12,Router13,0.0,0.0,0.0,0.0
1,46,18,Router19,0.0,0.0,0.0,0.0
1,47,29,Router30,0.0,0.0,0.0,0.0
1,48,12,Router13,0.0,0.0,0.0,0.0
1,49,19,Router20,0.0,0.0,0.0,0.0
1,50,3,Router4,0.0,0.0,0.0,0.0
2,1,24,Router25,0.0,0.0,0.0,0.0
2,2,16,Router17,0.0,0.0,0.0,0.0
2,3,22,Router23,0.0,0.0,0.0,0.0
2,4,2,Router3,0.0,0.0,0.0,0.0
2,5,18,Router19,0.0,0.0,0.0,0.0
2,6,16,Router17,0.0,0.0,0.0,0.0
2,7,23,Router24,0.0,0.0,0.0,0.0
2,8,0,Router1,0.0,0.0,0.0,0.0
2,9,30,Router31,0.0,0.0,0.0,0.0
2,10,14,Router15,0.0,0.0,0.0,0.0
2,11,22,Router23,0.0,0.0,0.0,0.0
2,12,9,Router10,0.0,0.0,0.0,0.0
2,13,27,Router28,0.0,0.0,0.0,0.0
2,14,25,Router26,0.0,0.0,0.0,0.0
2,15,24,Router25,0.0,0.0,0.0,0.0
2,16,21,Router22,0.0,0.0,0.0,0.0
2,17,18,Router19,0.0,0.0,0.0,0.0
2,18,28,Router29,0.0,0.0,0.0,0.0
2,19,4,Router5,0.0,0.0,0.0,0.0
2,20,19,Router20,0.0,0.0,0.0,0.0
2,21,5,Router6,0.0,0.0,0.0,0.0
2,22,4,Router5,0.0,0.0,0.0,0.0
2,23,4,Router5,0.0,0.0,0.0,0.0
2,24,16,Router17,0.0,0.0,0.0,0.0
2,25,11,Router12,0.0,0.0,0.0,0.0
2,26,20,Router21,0.0,0.0,0.0,0.0
2,27,3,Router4,0.0,0.0,0.0,0.0
2,28,24,Router25,0.0,0.0,0.0,0.0
2,29,27,Router28,0.0,0.0,0.0,0.0
2,30,5,Router6,0.0,0.0,0.0,0.0
2,31,19,Router20,0.0,0.0,0.0,0.0
2,32,5,Router6,0.0,0.0,0.0,0.0
2,33,11,Router12,0.0,0.0,0.0,0.0
2,34,31,Router32,0.0,0.0,0.0,0.0
2,35,11,Router12,0.0,0.0,0.0,0.0
2,36,8,Router9,0.0,0.0,0.0,0.0
2,37,22,Router23,0.0,0.0,0.0,0.0
2,38,26,Router27,0.0,0.0,0.0,0.0
2,39,29,Router30,0.0,0.0,0.0,0.0
2,40,21,Router22,0.0,0.0,0.0,0.0
2,41,7,Router8,0.0,0.0,0.0,0.0
2,42,6,Router7,0.0,0.0,0.0,0.0
2,43,2,Router3,0.0,0.0,0.0,0.0
2,44,0,Router1,0.0,0.0,0.0,0.0
2,45,13,Router14,0.0,0.0,0.0,0.0
2,46,7,Router8,0.0,0.0,0.0,0.0
2,47,7,Router8,0.0,0.0,0.0,0.0
2,48,3,Router4,0.0,0.0,0.0,0.0
2,49,13,Router14,0.0,0.0,0.0,0.0
2,50,30,Router31,0.0,0.0,0.0,0.0
3,1,24,Router25,0.0,0.0,0.0,0.0
3,2,17,Router18,0.0,0.0,0.0,0.0
3,3,8,Router9,0.0,0.0,0.0,0.0
3,4,20,Router21,0.0,0.0,0.0,0.0
3,5,23,Router24,0.0,0.0,0.0,0.0
3,6,10,Router11,0.0,0.0,0.0,0.0
3,7,25,Router26,0.0,0.0,0.0,0.0
3,8,30,Router31,0.0,0.0,0.0,0.0
3,9,15,Router16,0.0,0.0,0.0,0.0
3,10,15,Router16,0.0,0.0,0.0,0.0
3,11,24,Router25,0.0,0.0,0.0,0.0
3,12,9,Router10,0.0,0.0,0.0,0.0
3,13,21,Router22,0.0,0.0,0.0,0.0
3,14,15,Router16,0.0,0.0,0.0,0.0
3,15,7,Router8,0.0,0.0,0.0,0.0
3,16,15,Router16,0.0,0.0,0.0,0.0
3,17,15,Router16,0.0,0.0,0.0,0.0
3,18,8,Router9,0.0,0.0,0.0,0.0
3,19,1,Router2,0.0,0.0,0.0,0.0
3,20,10,Router11,0.0,0.0,0.0,0.0
3,21,1,Router2,0.0,0.0,0.0,0.0
3,22,18,Router19,0.0,0.0,0.0,0.0
3,23,30,Router31,0.0,0.0,0.0,0.0
3,24,8,Router9,0.0,0.0,0.0,0.0
3,25,19,Router20,0.0,0.0,0.0,0.0
3,26,16,Router17,0.0,0.0,0.0,0.0
3,27,13,Router14,0.0,0.0,0.0,0.0
3,28,27,Router28,0.0,0.0,0.0,0.0
3,29,31,Router32,0.0,0.0,0.0,0.0
