Router,Closeness,Reach_raw,Reach_norm,Degree,Betweenness,CMBA,CacheOccupy,CHR,Latency
Router1,0.072,5.519218497809156,0.0,0.0277777777777777,0.0,0.0249444444444444,0.0,,
Router4,0.0774193548387096,6.528415822223872,0.1523604908517458,0.0555555555555555,0.1111111111111111,0.0991116280892805,0.0,,
Router7,0.0833333333333333,7.043567337375387,0.2301339210944636,0.0555555555555555,0.2158730158730158,0.1462239564640921,0.0,,
Router10,0.0897755610972568,7.399844393652445,0.2839217640270326,0.0555555555555555,0.3142857142857143,0.1858846487413898,0.0,,
Router13,0.0967741935483871,7.683177726985779,0.3266971506605275,0.0555555555555555,0.4063492063492063,0.2213440265284191,0.0,,
Router16,0.1043478260869565,7.9306923468688195,0.3640649161767849,0.0555555555555555,0.492063492063492,0.2540079474706972,0.0,,
Router19,0.1125,8.164819330995803,0.3994115241792524,0.0555555555555555,0.5714285714285714,0.2847239127908448,0.0,,
Router22,0.1212121212121212,8.40431512931513,0.4355686725446879,0.0555555555555555,0.6444444444444445,0.3141951984392023,0.0,,
Router25,0.1304347826086956,8.670981795981795,0.4758278599644476,0.0555555555555555,0.7111111111111111,0.3432323273099524,0.0,,
Router28,0.1400778210116731,8.998759573759571,0.5253131111679021,0.0555555555555555,0.7714285714285715,0.3730937647909256,0.0,,
Router31,0.15,9.455902430902432,0.5943288610303481,0.0555555555555555,0.8253968253968254,0.4063203104956823,0.0,,
Router34,0.16,10.226298701298704,0.710637090420476,0.0555555555555555,0.873015873015873,0.4498021297479762,0.0,,
