Router,Closeness,Reach_raw,Reach_norm,Degree,Betweenness,CMBA,CacheOccupy,CHR,Latency
Router3,0.0972222222222222,5.383470124646596,0.0128132586069836,0.0357142857142857,0.0,0.0364374416358729,0.0,,
Router6,0.10727969348659,6.418600843600847,0.1833426562440463,0.0714285714285714,0.1428571428571428,0.1262270160040876,0.0,,
Router9,0.1186440677966101,6.972172272172274,0.2745390631662004,0.0714285714285714,0.2751322751322751,0.1849359943809143,0.0,,
Router12,0.1314553990610328,7.386457986457988,0.3427892773789096,0.0714285714285714,0.3968253968253968,0.2356246611734777,0.0,,
Router15,0.1458333333333333,7.760267510267511,0.4043713672145146,0.0714285714285714,0.5079365079365079,0.2823924449782318,0.0,,
Router18,0.1618497109826589,8.156421356421356,0.4696345030863491,0.0714285714285714,0.6084656084656084,0.3278445984907969,0.0,,
Router21,0.1794871794871795,8.656421356421355,0.552005451274101,0.0714285714285714,0.6984126984126984,0.3753334751506376,0.0,,
Router24,0.1985815602836879,9.45079365079365,0.6828718494771535,0.0714285714285714,0.7777777777777777,0.4326649397417976,0.0,,
Router27,0.21875,11.37579365079365,1.0,0.1785714285714285,1.4708994708994707,0.7170552248677249,0.0,,
Router26,0.2014388489208633,9.47579365079365,0.6869903968865412,0.0714285714285714,0.8465608465608465,0.4516046659492055,0.0,,
Router23,0.1842105263157894,8.708369408369409,0.5605634718650367,0.0714285714285714,0.7777777777777777,0.3984950868467938,0.0,,
Router20,0.1676646706586826,8.23975468975469,0.4833629944509746,0.0714285714285714,0.6984126984126984,0.3552172337377317,0.0,,
Router17,0.1521739130434782,7.883344433344433,0.424647292922269,0.0714285714285714,0.6084656084656084,0.3141788464649817,0.0,,
