iteration,best_by_model,model_used
1,Router5,True
2,Router4,True
3,Router8,True
4,Router8,True
5,Router8,True
6,Router4,True
7,Router4,True
8,Router4,True
9,Router4,True
10,Router4,True
11,Router8,True
12,Router8,True
