episode,iteration,reward,loss,done
1,1,-0.18230211954414957,0.0,False
1,2,0.0,0.0,False
1,3,-0.25,0.0,False
1,4,-0.12088633566392089,0.0,False
1,5,-0.1370967719149328,0.0,False
1,6,0.0,0.0,False
1,7,-0.14603328374643992,0.0,False
1,8,-0.16477745662441895,0.0,False
1,9,-0.18278864368901163,0.0,False
1,10,0.0,0.0,False
1,11,-0.25,0.0,False
1,12,0.0,0.0,False
1,13,-0.13644235527349474,0.0,False
1,14,-0.21256867041673988,0.0,False
1,15,-0.10382337299896849,0.0,False
1,16,-0.13226175246151853,0.0,False
1,17,-0.20039131832552365,0.0,False
1,18,-0.24610829469586787,0.0,False
1,19,0.0,0.0,False
1,20,0.0,0.0,False
1,21,-0.11222503281044383,0.0,False
1,22,-0.1630966784635959,0.0,False
1,23,0.0,0.0,False
1,24,-0.22792794799448587,0.0,False
1,25,0.0,0.0,False
1,26,-0.15803469808073653,0.0,False
1,27,-0.25,0.0,False
1,28,-0.1015303560098965,0.0,False
1,29,-0.1596461178662168,0.0,False
1,30,0.0,0.0,False
1,31,-0.25,0.0,False
1,32,-0.2145850221447954,0.0,False
1,33,0.0,0.0,False
1,34,-0.09981157919962381,0.0,False
1,35,-0.25,0.0,False
1,36,-0.13597938642706553,0.0,False
1,37,-0.11988989321935686,0.0,False
1,38,-0.21986276328296137,0.0,False
1,39,-0.15815280538889293,0.0,False
1,40,-0.17647718810482352,0.0,False
1,41,-0.18446985455216963,0.0,False
1,42,-0.07912124146687986,0.0,False
1,43,0.0,0.0,False
1,44,0.0,0.0,False
1,45,-0.15511786952222945,0.0,False
1,46,0.0,0.0,False
1,47,-0.1729140152853674,0.0,False
1,48,0.0,0.0,False
1,49,-0.25,0.0,False
1,50,0.0,0.0,False
1,51,0.0,0.0,False
1,52,0.0,0.0,False
1,53,0.0,0.0,False
1,54,0.0,0.0,False
1,55,-0.25,0.0,False
1,56,0.0,0.0,False
1,57,-0.049086632219311616,0.0,False
1,58,-0.23849293355837406,0.0,False
1,59,-0.17887077106812063,0.0,False
1,60,-0.12048478211010186,0.0,False
1,61,0.0,0.0,False
1,62,-0.16478342747118005,0.0,False
