episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-0.8576927599058202,-0.008576927599058202,5.7874327649187765e-05,0.08307187014821328
2,100,-0.07477953504303363,-0.0007477953504303362,4.070871003932552e-05,0.050322483039784247
3,100,-0.4611359562081185,-0.004611359562081185,2.9634168658958515e-05,0.05
