episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-12.555911407629624,-0.12555911407629625,0.0012465984420850873,0.8307187014821328
2,100,-8.826184044463846,-0.08826184044463846,0.0005759868811583146,0.5032248303978422
3,100,-5.191175755328204,-0.05191175755328204,0.0005101442025625146,0.30483872516307353
4,100,-3.280532898119249,-0.03280532898119249,0.0003552408136602025,0.1846622876013121
5,100,-1.8259806907031395,-0.018259806907031394,0.000262738301535137,0.11186295456362313
6,100,-1.212846267942277,-0.01212846267942277,0.000153449019708205,0.0677632708131484
7,100,-1.2750741540126322,-0.012750741540126322,0.0001186317462270381,0.05
8,100,-1.1821768459737236,-0.011821768459737236,0.00010225668764178408,0.05
9,100,-0.011341355069937317,-0.00011341355069937317,8.988214631244773e-05,0.05
10,100,-0.4889568700559742,-0.0048895687005597425,0.00010073022127471632,0.05
