episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-11.586119392433789,-0.11586119392433789,0.0009347990504465997,0.8307187014821328
2,100,-9.030520838448775,-0.09030520838448775,0.00039691692298220003,0.5032248303978422
3,100,-6.635189047996209,-0.0663518904799621,0.0004286106253857724,0.30483872516307353
4,100,-3.5043951301039273,-0.035043951301039274,0.0003919194590707775,0.1846622876013121
5,100,-2.6051077494679804,-0.026051077494679803,0.00037198247548076325,0.11186295456362313
6,100,-2.0444080938178506,-0.020444080938178507,0.000245499647789984,0.0677632708131484
7,100,-0.6825374897651646,-0.006825374897651646,0.00019614582612121012,0.05
8,100,-0.7479156281494412,-0.007479156281494413,0.00017885660876345354,0.05
9,100,-0.8096534130864662,-0.008096534130864662,0.00017509265264379793,0.05
10,100,-1.4411656057568625,-0.014411656057568625,0.00017420369462342933,0.05
