episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,-10.54482832221256,-0.1054482832221256,0.0012443507416173816,0.8307187014821328
2,100,-6.116587007776295,-0.06116587007776295,0.0004045030164706986,0.5032248303978422
3,100,-4.599058914251385,-0.04599058914251385,0.0001992792035889579,0.30483872516307353
4,100,-1.793664489136706,-0.017936644891367058,0.00014807654337346322,0.1846622876013121
5,100,-1.6283837520782327,-0.016283837520782326,0.00011033596012566705,0.11186295456362313
6,100,-0.676887249757365,-0.00676887249757365,0.00013143013969965978,0.0677632708131484
7,100,-0.8627388727331938,-0.008627388727331937,0.00011986914107183111,0.05
8,100,-0.9056897885796293,-0.009056897885796293,0.00011830209294203087,0.05
9,100,0.0,0.0,0.00012067757250406431,0.05
10,100,-0.5831153622754901,-0.005831153622754901,0.00010347078867198434,0.05
