episode,iteration,selected_router_index,selected_router_name,chr,latency_ms,cache_occupancy,cmba
1,1,2,Router3,0.0,0.0,0.0,0.0
1,2,2,Router3,0.0,0.0,0.0,0.0
1,3,2,Router3,0.0,0.0,0.0,0.0
1,4,2,Router3,0.0,0.0,0.0,0.0
1,5,2,Router3,0.0,0.0,0.0,0.0
1,6,2,Router3,0.0,0.0,0.0,0.0
1,7,8,Router9,0.0,0.0,0.0,0.0
1,8,2,Router3,0.0,0.0,0.0,0.0
1,9,8,Router9,0.0,0.0,0.0,0.0
1,10,2,Router3,0.0,0.0,0.0,0.0
1,11,2,Router3,0.0,0.0,0.0,0.0
1,12,5,Router6,0.0,0.0,0.0,0.0
1,13,4,Router5,0.0,22.26574258209247,0.0,0.0
1,14,1,Router2,0.0,0.0,0.0,0.0
1,15,2,Router3,0.0,0.0,0.0,0.0
1,16,2,Router3,0.0,0.0,0.0,0.0
1,17,8,Router9,0.0,0.0,0.0,0.0
1,18,2,Router3,0.0,0.0,0.0,0.0
1,19,2,Router3,0.0,0.0,0.0,0.0
1,20,2,Router3,0.0,0.0,0.0,0.0
1,21,2,Router3,0.0,0.0,0.0,0.0
1,22,2,Router3,0.0,0.0,0.0,0.0
1,23,2,Router3,0.0,0.0,0.0,0.0
1,24,1,Router2,0.0,0.0,0.0,0.0
1,25,2,Router3,0.0,0.0,0.0,0.0
1,26,8,Router9,0.0,0.0,0.0,0.0
1,27,2,Router3,0.0,0.0,0.0,0.0
1,28,2,Router3,0.0,0.0,0.0,0.0
1,29,2,Router3,0.0,0.0,0.0,0.0
1,30,2,Router3,0.0,0.0,0.0,0.0
1,31,1,Router2,0.0,0.0,0.0,0.0
1,32,2,Router3,0.0,0.0,0.0,0.0
1,33,2,Router3,0.0,0.0,0.0,0.0
1,34,2,Router3,0.0,0.0,0.0,0.0
1,35,2,Router3,0.0,0.0,0.0,0.0
1,36,8,Router9,0.0,0.0,0.0,0.0
1,37,2,Router3,0.0,0.0,0.0,0.0
1,38,2,Router3,0.0,0.0,0.0,0.0
1,39,5,Router6,0.0,0.0,0.0,0.0
1,40,1,Router2,0.0,0.0,0.0,0.0
1,41,4,Router5,0.0,71.81783709432418,0.0,0.0
1,42,2,Router3,0.0,0.0,0.0,0.0
1,43,2,Router3,0.0,0.0,0.0,0.0
1,44,2,Router3,0.0,0.0,0.0,0.0
1,45,8,Router9,0.0,0.0,0.0,0.0
1,46,1,Router2,0.0,0.0,0.0,0.0
1,47,5,Router6,0.0,0.0,0.0,0.0
1,48,2,Router3,0.0,0.0,0.0,0.0
1,49,2,Router3,0.0,0.0,0.0,0.0
1,50,2,Router3,0.0,0.0,0.0,0.0
1,51,2,Router3,0.0,0.0,0.0,0.0
1,52,2,Router3,0.0,0.0,0.0,0.0
1,53,2,Router3,0.0,0.0,0.0,0.0
1,54,8,Router9,0.0,0.0,0.0,0.0
1,55,2,Router3,0.0,0.0,0.0,0.0
1,56,2,Router3,0.0,0.0,0.0,0.0
1,57,2,Router3,0.0,0.0,0.0,0.0
1,58,2,Router3,0.0,0.0,0.0,0.0
1,59,2,Router3,0.0,0.0,0.0,0.0
1,60,2,Router3,0.0,0.0,0.0,0.0
1,61,2,Router3,0.0,0.0,0.0,0.0
1,62,2,Router3,0.0,0.0,0.0,0.0
1,63,5,Router6,0.0,0.0,0.0,0.0
1,64,2,Router3,0.0,0.0,0.0,0.0
1,65,0,Router1,0.0,0.0,0.0,0.0
1,66,8,Router9,0.0,0.0,0.0,0.0
1,67,8,Router9,0.0,0.0,0.0,0.0
1,68,8,Router9,0.0,0.0,0.0,0.0
1,69,2,Router3,0.0,0.0,0.0,0.0
1,70,5,Router6,0.0,0.0,0.0,0.0
1,71,5,Router6,0.0,0.0,0.0,0.0
1,72,1,Router2,0.0,0.0,0.0,0.0
1,73,1,Router2,0.0,0.0,0.0,0.0
1,74,7,Router8,0.0,61.80324337293415,0.0,0.0
1,75,8,Router9,0.0,0.0,0.0,0.0
1,76,5,Router6,0.0,0.0,0.0,0.0
1,77,2,Router3,0.0,0.0,0.0,0.0
1,78,2,Router3,0.0,0.0,0.0,0.0
1,79,2,Router3,0.0,0.0,0.0,0.0
1,80,2,Router3,0.0,0.0,0.0,0.0
1,81,0,Router1,0.0,0.0,0.0,0.0
1,82,2,Router3,0.0,0.0,0.0,0.0
1,83,0,Router1,0.0,0.0,0.0,0.0
1,84,5,Router6,0.0,0.0,0.0,0.0
1,85,8,Router9,0.0,0.0,0.0,0.0
1,86,5,Router6,0.0,0.0,0.0,0.0
1,87,1,Router2,0.0,0.0,0.0,0.0
1,88,1,Router2,0.0,0.0,0.0,0.0
1,89,2,Router3,0.0,0.0,0.0,0.0
1,90,5,Router6,0.0,0.0,0.0,0.0
1,91,2,Router3,0.0,0.0,0.0,0.0
1,92,2,Router3,0.0,0.0,0.0,0.0
1,93,1,Router2,0.0,0.0,0.0,0.0
1,94,2,Router3,0.0,0.0,0.0,0.0
1,95,3,Router4,0.0,0.0,0.0,0.0
1,96,1,Router2,0.0,0.0,0.0,0.0
1,97,1,Router2,0.0,0.0,0.0,0.0
1,98,4,Router5,0.0,58.15449263047492,0.0,0.0
1,99,2,Router3,0.0,0.0,0.0,0.0
1,100,1,Router2,0.0,61.163365479947615,0.0,0.0
2,1,5,Router6,0.0,0.0,0.0,0.0
2,2,8,Router9,0.0,0.0,0.0,0.0
2,3,8,Router9,0.0,0.0,0.0,0.0
2,4,2,Router3,0.0,0.0,0.0,0.0
2,5,8,Router9,0.0,0.0,0.0,0.0
2,6,3,Router4,0.0,0.0,0.0,0.0
2,7,2,Router3,0.0,0.0,0.0,0.0
2,8,8,Router9,0.0,0.0,0.0,0.0
2,9,3,Router4,0.0,0.0,0.0,0.0
2,10,2,Router3,0.0,0.0,0.0,0.0
