episode,iteration,reward,loss,done
1,1,0.0,0.0,False
1,2,0.0,0.0,False
1,3,0.0,0.0,False
1,4,-0.2245919513572097,0.0,False
1,5,-0.18049251841588076,0.0,False
1,6,-0.08167063867263383,0.0,False
1,7,0.0,0.0,False
1,8,-0.25,0.0,False
1,9,-0.16229713489879935,0.0,False
1,10,-0.1875387859433912,0.0,False
1,11,-0.11683493049621564,0.0,False
1,12,-0.09261412720859073,0.0,False
1,13,-0.05646486913824354,0.0,False
1,14,0.0,0.0,False
1,15,0.0,0.0,False
1,16,-0.25,0.0,False
1,17,-0.25,0.0,False
1,18,-0.06619964667868718,0.0,False
1,19,-0.16011027370654238,0.0,False
1,20,-0.09011651726606894,0.0,False
1,21,-0.1764937787276566,0.0,False
1,22,-0.16901530763374947,0.0,False
1,23,-0.23271238973647698,0.0,False
1,24,-0.11163703533993523,0.0,False
1,25,0.0,0.0,False
1,26,-0.21028846129013368,0.0,False
1,27,-0.1301748287327023,0.0,False
1,28,-0.24785611673217312,0.0,False
1,29,-0.23733497034845988,0.0,False
1,30,-0.04158347867695796,0.0,False
1,31,-0.20795193531787765,0.0,False
1,32,0.0,0.0,False
1,33,-0.12550350453499043,0.0,False
1,34,-0.09555942391896653,0.0,False
1,35,-0.20309784753824955,0.0,False
1,36,-0.07940949469948962,0.0,False
1,37,-0.08482784563063206,0.0,False
1,38,-0.12323012689268756,0.0,False
1,39,-0.19837141375764306,0.0,False
1,40,-0.25,0.0,False
1,41,-0.0689529280321893,0.0,False
1,42,-0.10039803921826736,0.0,False
1,43,0.0,0.0,False
1,44,-0.2488206634235513,0.0,False
1,45,-0.25,0.0,False
1,46,-0.08832937917954445,0.0,False
1,47,-0.09752399061576955,0.0,False
1,48,0.0,0.0,False
1,49,-0.059611351259420235,0.0,False
1,50,-0.22184667422847332,0.0,False
1,51,-0.21431767516243322,0.0,False
1,52,-0.0677425683417561,0.0,False
1,53,-0.1788688800341318,0.0,False
1,54,-0.1466376933332257,0.0,False
1,55,-0.050936655630305756,0.0,False
1,56,-0.16654840030231552,0.0,False
1,57,-0.02727896078950126,0.0,False
1,58,0.0,0.0,False
1,59,0.0,0.0,False
1,60,-0.1986307065758333,0.0,False
1,61,-0.12731242427399792,0.0,False
1,62,-0.05414652916538417,0.0,False
1,63,-0.0873570575061267,0.0,False
1,64,-0.18754368944781555,0.01279801968485117,False
1,65,-0.1283412409150985,0.010749020613729954,False
1,66,-0.1493512552438438,0.00847096648067236,False
1,67,-0.188631362784964,0.0076677436009049416,False
1,68,-0.03565777038113739,0.006556021515280008,False
1,69,-0.10971250186081025,0.005830576177686453,False
1,70,-0.24764378142447557,0.005120683927088976,False
1,71,-0.1451782681227649,0.004897299222648144,False
1,72,-0.09826840118708008,0.003857696894556284,False
1,73,-0.16992611475701444,0.004087075591087341,False
1,74,0.0,0.003666799981147051,False
1,75,-0.2156982559080956,0.0038252014201134443,False
1,76,0.0,0.003613410983234644,False
1,77,-0.15981718603673542,0.0031490072142332792,False
1,78,-0.19387038954173424,0.0029931364115327597,False
1,79,-0.1524863618150918,0.002907853340730071,False
1,80,-0.08905979358726065,0.002699639182537794,False
1,81,-0.11983769643672924,0.0021793460473418236,False
1,82,-0.08218555014056098,0.0020262012258172035,False
1,83,-0.13142838897145445,0.0020181285217404366,False
1,84,-0.25,0.002341147977858782,False
1,85,-0.0759733089832435,0.0018284956458956003,False
1,86,-0.11798787314036159,0.0019467727979645133,False
1,87,-0.25,0.0016140268417075276,False
1,88,-0.16645974923263795,0.0016307828482240438,False
1,89,0.0,0.0012067030183970928,False
1,90,-0.25,0.0015621831407770514,False
1,91,-0.10077200247881264,0.0015656152972951531,False
1,92,0.0,0.0011287694796919823,False
1,93,-0.15814942770918672,0.0015972943510860205,False
1,94,-0.18701743365996795,0.0015122562181204557,False
1,95,0.0,0.0011325993109494448,False
1,96,-0.16532475483573889,0.0013574293116107583,False
1,97,-0.25,0.001426287111826241,False
1,98,-0.19037826292007184,0.0012796514201909304,False
1,99,-0.23997065574366583,0.0012834247900173068,False
1,100,0.0,0.0011325766099616885,True
2,1,0.0,0.0008986654574982822,False
2,2,-0.17608372516589946,0.0008535334491170943,False
2,3,0.0,0.0010622795671224594,False
2,4,-0.24461936107330007,0.0008628012728877366,False
2,5,-0.07660721290812873,0.001107349875383079,False
2,6,0.0,0.0008325862581841648,False
2,7,0.0,0.0009645837126299739,False
2,8,-0.07189478194401105,0.0010993542382493615,False
2,9,-0.19853464272760785,0.000861143518704921,False
2,10,0.0,0.0008694356656633317,False
2,11,0.0,0.0009333393536508083,False
2,12,-0.1380005489109376,0.0007512947777286172,False
2,13,-0.18107793079674778,0.0007426876109093428,False
2,14,-0.09832917566111161,0.0007857916061766446,False
2,15,-0.11780322809610803,0.0006188505212776363,False
2,16,-0.132582346024259,0.0005321651697158813,False
2,17,-0.1787480257988848,0.0004845865478273481,False
2,18,0.0,0.0004890242125838995,False
2,19,-0.09584327449650029,0.0004502034280449152,False
2,20,-0.21343300115949682,0.000304270040942356,False
2,21,0.0,0.00034642190439626575,False
2,22,-0.21719946961319525,0.00035021622898057103,False
2,23,-0.14511001808341914,0.00033155534765683115,False
2,24,-0.13318012423937964,0.00043872627429664135,False
2,25,-0.1442021574769559,0.00047049729619175196,False
2,26,0.0,0.0002925654116552323,False
2,27,-0.08029722811631436,0.0004265400057192892,False
2,28,0.0,0.0003969173412770033,False
2,29,0.0,0.0003468036884441972,False
2,30,0.0,0.0003162618959322572,False
2,31,-0.10928786004131615,0.00022177936625666916,False
2,32,-0.1703562777354486,0.0003655891341622919,False
2,33,-0.14929025450685043,0.000377675867639482,False
2,34,0.0,0.00035575166111811996,False
2,35,0.0,0.0003149595868308097,False
2,36,-0.25,0.0002307197282789275,False
2,37,-0.13460530335954443,0.0003209041606169194,False
2,38,-0.25,0.00024383030540775508,False
2,39,0.0,0.00024017205578275025,False
2,40,0.0,0.00028287642635405064,False
2,41,-0.016314577613186106,0.00018289920990355313,False
2,42,0.0,0.00021207629470154643,False
2,43,0.0,0.00043095380533486605,False
2,44,-0.1093145311058349,0.00024653144646435976,False
2,45,-0.1368384098518129,0.0002578620915301144,False
2,46,-0.22148720754604798,0.00024402071721851826,False
2,47,0.0,0.00028499611653387547,False
2,48,-0.21517844579527284,0.00042172742541879416,False
2,49,-0.1508226640657879,0.0003644059761427343,False
2,50,0.0,0.00030578600126318634,False
2,51,0.0,0.00019605131819844246,False
2,52,-0.16714051075630057,0.0004107908171135932,False
2,53,-0.1818967501381205,0.00026255473494529724,False
2,54,0.0,0.00030226202215999365,False
2,55,-0.18128826526822,0.00032022365485318005,False
2,56,-0.14951205855814328,0.00024791373289190233,False
2,57,0.0,0.0003072075778618455,False
2,58,0.0,0.000304845831124112,False
2,59,-0.22315073422427134,0.0003176775062456727,False
2,60,0.0,0.0004987763823010027,False
2,61,-0.1831722601880834,0.00027560757007449865,False
2,62,-0.10918178961889619,0.0003349627659190446,False
2,63,-0.05051052025494172,0.00029938179068267345,False
2,64,-0.12500450730343898,0.0012145723449066281,False
2,65,0.0,0.0008292740676552057,False
2,66,-0.19731181083017799,0.0008982014842331409,False
2,67,0.0,0.00048029498429968953,False
2,68,-0.09734669370679569,0.0007456609746441245,False
2,69,0.0,0.0007161114481277764,False
2,70,0.0,0.001079269335605204,False
2,71,-0.15144247135376468,0.0006082627805881202,False
2,72,0.0,0.0007781271706335247,False
2,73,-0.25,0.0005320187192410231,False
2,74,-0.10072707575957765,0.0008463758276775479,False
2,75,-0.25,0.0008208025828935206,False
2,76,-0.25,0.0006757642840966582,False
2,77,0.0,0.0007992402534000576,False
2,78,0.0,0.0007649170584045351,False
2,79,0.0,0.0006755515350960195,False
2,80,0.0,0.0010457633761689067,False
2,81,-0.22398285452277314,0.0007404592470265925,False
2,82,-0.16853874108077097,0.0006526687648147345,False
2,83,0.0,0.0009787434246391058,False
2,84,0.0,0.0010122868698090315,False
2,85,0.0,0.0006409005145542324,False
2,86,0.0,0.0007353813853114843,False
2,87,0.0,0.0008299385663121939,False
2,88,0.0,0.0006023190799169242,False
2,89,0.0,0.0007641584961675107,False
2,90,-0.2181558470278444,0.0006452213274315,False
2,91,-0.2017242385358489,0.0008755060262046754,False
2,92,0.0,0.0009653627057559788,False
2,93,0.0,0.0006124807987362146,False
2,94,-0.09540131623410429,0.0009322518017143011,False
2,95,0.0,0.000697778130415827,False
2,96,-0.21109869954493973,0.0005852134781889617,False
