Router,Reach_raw,Reach_norm
Publisher1,8.642965367965369,0.4977182883018273
Publisher2,8.642965367965369,0.4977182883018273
Router1,5.437506731314781,0.0
Router10,7.327914569091042,0.29352759148173063
Router11,7.425136791313264,0.30862348992074673
Router12,7.425136791313264,0.30862348992074673
Router13,7.619581235757709,0.338815286798779
Router14,7.739329134917372,0.35740879435992
Router15,7.739329134917372,0.35740879435992
Router16,7.880505605505608,0.3793295611688443
Router17,8.032291319791323,0.40289764750730844
Router18,8.032291319791323,0.40289764750730844
Router19,8.136457986457987,0.4190718244062539
Router2,5.49594828975634,0.009074343403045016
Router20,8.336457986457987,0.4501262440522298
Router21,8.336457986457987,0.4501262440522298
Router22,8.412648462648463,0.46195649915545867
Router23,8.69121989121989,0.5052108693766393
Router24,8.69121989121989,0.5052108693766393
Router25,8.744791319791318,0.5135290174960971
Router26,9.167868242868241,0.5792210590548926
Router27,9.167868242868241,0.5792210590548926
Router28,9.202056277056277,0.5845295068576238
Router29,9.952056277056277,0.7009835805300338
Router3,5.49594828975634,0.009074343403045016
Router30,9.952056277056277,0.7009835805300338
Router31,9.968722943722945,0.7035714488338652
Router32,11.877813852813855,1.0
Router4,6.448329242137293,0.15695253219340696
Router5,6.516511060319112,0.16753926616362622
Router6,6.516511060319112,0.16753926616362622
Router7,6.966511060319111,0.23741171036707212
Router8,7.047212814705076,0.24994244110141328
Router9,7.047212814705076,0.24994244110141328
