Iteration,CHR_Without,CHR_With,HRR_Without,HRR_With,Latency_Without,Latency_With
1,0.0,0.0,0.71875,0.8132648303350715,0.0031335582006582,0.0027214987617986777
2,0.0,0.0,0.765625,0.8663038410090979,0.0032235655538179,0.0027996702475318763
3,0.0,0.0,0.7291666666666666,0.8250512771515217,0.0019066763605877,0.0016559505272314037
4,0.0,0.0,0.7109375,0.8044249952227338,0.000411078641978,0.0003570222550549777
5,0.0,0.0,0.7125,0.8061929622452013,0.0016150751396187,0.0014026945444194606
6,0.0,0.0,0.7125,0.8061929622452013,0.000822685552211,0.0007145033116734873
7,0.0,0.0,0.7135416666666666,0.8073716069268463,0.0013192223567515,0.0011457460753983156
8,0.0,0.0,0.7276785714285714,0.823367499034886,0.0010173334585445,0.0008835552335309001
9,0.0,0.0,0.734375,0.830944500559747,0.0006040117237825,0.0005245848499130084
10,0.0,0.0,0.734375,0.830944500559747,0.0009887645305769,0.0008587430880046393
11,0.0,0.0,0.7395833333333334,0.8368377239679722,0.000239840439211,0.0002083016866273246
12,0.0,0.0,0.740625,0.8380163686496171,0.0006647016023205,0.0005772940765232517
13,0.0,0.0,0.7329545454545454,0.8293372578120491,0.0006248398730218,0.0005426741205553749
14,0.0,0.0,0.7329545454545454,0.8293372578120491,0.0001305807548968,0.0001134095300006656
15,0.0,0.0,0.734375,0.830944500559747,0.0006671533498526,0.0005794234219655835
16,0.7462686567164178,0.8444021599844999,0.7307692307692307,0.8268645766617448,0.0004387833152178,0.0003810837943946062
17,0.7042253521126761,0.7968302073093169,0.7307692307692307,0.8268645766617448,0.0002232012714106,0.00019385055099606767
18,0.6666666666666667,0.75433259625282,0.7307692307692307,0.8268645766617448,0.0005286725712766,0.0004591527126651025
19,0.628930817610063,0.7116345247668113,0.7307692307692307,0.8268645766617448,0.0005622019636623,0.0004882730270228756
20,0.5952380952380952,0.6735112466543035,0.7307692307692307,0.8268645766617448,0.0004055569712598,0.0003522266779313472
21,0.5714285714285714,0.6465707967881313,0.734375,0.830944500559747,0.0002579019059062,0.0002239880904212385
22,0.546448087431694,0.6183054067646065,0.734375,0.830944500559747,9.040711688401262e-05,7.851868096975115e-05
23,0.5319148936170213,0.6018611140315052,0.7416666666666667,0.8391950133312622,0.0001812955005563,0.00015745534267721747
24,0.5181347150259068,0.5862688571913108,0.748046875,0.846414212006338,0.0003919401574572,0.00034040046008875695
25,0.5025125628140703,0.5685924092357938,0.7518382352941176,0.8507041319873254,0.0004191857372496,0.00036406327626173525
