Router,CMBA
Publisher1,0.17129104393692868
Publisher2,0.17129104393692868
Router1,0.02721861471861472
Router10,0.19876068574922057
Router11,0.20347805658538964
Router12,0.20347805658538964
Router13,0.2368419795944316
Router14,0.24260562324751428
Router15,0.24260562324751428
Router16,0.2720239487337695
Router17,0.27923526669365206
Router18,0.27923526669365206
Router19,0.30530530634821607
Router2,0.030064931661812948
Router20,0.31462875243951716
Router21,0.31462875243951716
Router22,0.33765299033508317
Router23,0.3503071421229209
Router24,0.3503071421229209
Router25,0.37042770891947885
Router26,0.3890141808476392
Router27,0.3890141808476392
Router28,0.40627052288196386
Router29,0.43791161482947816
Router3,0.030064931661812948
Router30,0.43791161482947816
Router31,0.45226846029459067
Router32,0.6969164964249235
Router4,0.10595556510083534
Router5,0.10928085135715414
Router6,0.10928085135715414
Router7,0.15626125669283458
Router8,0.16019317727482785
Router9,0.16019317727482785
