Router,Degree
Publisher1,0.030303030303030304
Publisher2,0.030303030303030304
Router1,0.030303030303030304
Router10,0.06060606060606061
Router11,0.06060606060606061
Router12,0.06060606060606061
Router13,0.06060606060606061
Router14,0.06060606060606061
Router15,0.06060606060606061
Router16,0.06060606060606061
Router17,0.06060606060606061
Router18,0.06060606060606061
Router19,0.06060606060606061
Router2,0.030303030303030304
Router20,0.06060606060606061
Router21,0.06060606060606061
Router22,0.06060606060606061
Router23,0.06060606060606061
Router24,0.06060606060606061
Router25,0.06060606060606061
Router26,0.06060606060606061
Router27,0.06060606060606061
Router28,0.06060606060606061
Router29,0.06060606060606061
Router3,0.030303030303030304
Router30,0.06060606060606061
Router31,0.06060606060606061
Router32,0.15151515151515152
Router4,0.06060606060606061
Router5,0.06060606060606061
Router6,0.06060606060606061
Router7,0.06060606060606061
Router8,0.06060606060606061
Router9,0.06060606060606061
