Router,Closeness
Publisher1,0.15714285714285714
Publisher2,0.15714285714285714
Router1,0.07857142857142857
Router10,0.1
Router11,0.10377358490566038
Router12,0.10377358490566038
Router13,0.10855263157894737
Router14,0.11301369863013698
Router15,0.11301369863013698
Router16,0.11785714285714285
Router17,0.12313432835820895
Router18,0.12313432835820895
Router19,0.12790697674418605
Router2,0.08088235294117647
Router20,0.13414634146341464
Router21,0.13414634146341464
Router22,0.13865546218487396
Router23,0.14601769911504425
Router24,0.14601769911504425
Router25,0.15
Router26,0.15865384615384615
Router27,0.15865384615384615
Router28,0.16176470588235295
Router29,0.171875
Router3,0.08088235294117647
Router30,0.171875
Router31,0.1736842105263158
Router32,0.1853932584269663
Router4,0.08505154639175258
Router5,0.08776595744680851
Router6,0.08776595744680851
Router7,0.09217877094972067
Router8,0.0953757225433526
Router9,0.0953757225433526
