Router,Closeness,Reach_raw,Reach_norm,Degree,Betweenness,CMBA
Publisher1,0.15714285714285714,8.642965367965369,0.4977182883018273,0.030303030303030304,0.0,0.17129104393692868
Publisher2,0.15714285714285714,8.642965367965369,0.4977182883018273,0.030303030303030304,0.0,0.17129104393692868
Router1,0.07857142857142857,5.437506731314781,0.0,0.030303030303030304,0.0,0.02721861471861472
Router10,0.1,7.327914569091042,0.29352759148173063,0.06060606060606061,0.34090909090909094,0.19876068574922057
Router11,0.10377358490566038,7.425136791313264,0.30862348992074673,0.06060606060606061,0.34090909090909094,0.20347805658538964
Router12,0.10377358490566038,7.425136791313264,0.30862348992074673,0.06060606060606061,0.34090909090909094,0.20347805658538964
Router13,0.10855263157894737,7.619581235757709,0.338815286798779,0.06060606060606061,0.4393939393939394,0.2368419795944316
Router14,0.11301369863013698,7.739329134917372,0.35740879435992,0.06060606060606061,0.4393939393939394,0.24260562324751428
Router15,0.11301369863013698,7.739329134917372,0.35740879435992,0.06060606060606061,0.4393939393939394,0.24260562324751428
Router16,0.11785714285714285,7.880505605505608,0.3793295611688443,0.06060606060606061,0.5303030303030303,0.2720239487337695
Router17,0.12313432835820895,8.032291319791323,0.40289764750730844,0.06060606060606061,0.5303030303030303,0.27923526669365206
Router18,0.12313432835820895,8.032291319791323,0.40289764750730844,0.06060606060606061,0.5303030303030303,0.27923526669365206
Router19,0.12790697674418605,8.136457986457987,0.4190718244062539,0.06060606060606061,0.6136363636363636,0.30530530634821607
Router2,0.08088235294117647,5.49594828975634,0.009074343403045016,0.030303030303030304,0.0,0.030064931661812948
Router20,0.13414634146341464,8.336457986457987,0.4501262440522298,0.06060606060606061,0.6136363636363636,0.31462875243951716
Router21,0.13414634146341464,8.336457986457987,0.4501262440522298,0.06060606060606061,0.6136363636363636,0.31462875243951716
Router22,0.13865546218487396,8.412648462648463,0.46195649915545867,0.06060606060606061,0.6893939393939394,0.33765299033508317
Router23,0.14601769911504425,8.69121989121989,0.5052108693766393,0.06060606060606061,0.6893939393939394,0.3503071421229209
Router24,0.14601769911504425,8.69121989121989,0.5052108693766393,0.06060606060606061,0.6893939393939394,0.3503071421229209
Router25,0.15,8.744791319791318,0.5135290174960971,0.06060606060606061,0.7575757575757576,0.37042770891947885
Router26,0.15865384615384615,9.167868242868241,0.5792210590548926,0.06060606060606061,0.7575757575757576,0.3890141808476392
Router27,0.15865384615384615,9.167868242868241,0.5792210590548926,0.06060606060606061,0.7575757575757576,0.3890141808476392
Router28,0.16176470588235295,9.202056277056277,0.5845295068576238,0.06060606060606061,0.8181818181818182,0.40627052288196386
Router29,0.171875,9.952056277056277,0.7009835805300338,0.06060606060606061,0.8181818181818182,0.43791161482947816
Router3,0.08088235294117647,5.49594828975634,0.009074343403045016,0.030303030303030304,0.0,0.030064931661812948
Router30,0.171875,9.952056277056277,0.7009835805300338,0.06060606060606061,0.8181818181818182,0.43791161482947816
Router31,0.1736842105263158,9.968722943722945,0.7035714488338652,0.06060606060606061,0.8712121212121212,0.45226846029459067
Router32,0.1853932584269663,11.877813852813855,1.0,0.15151515151515152,1.4507575757575757,0.6969164964249235
Router4,0.08505154639175258,6.448329242137293,0.15695253219340696,0.06060606060606061,0.12121212121212122,0.10595556510083534
Router5,0.08776595744680851,6.516511060319112,0.16753926616362622,0.06060606060606061,0.12121212121212122,0.10928085135715414
Router6,0.08776595744680851,6.516511060319112,0.16753926616362622,0.06060606060606061,0.12121212121212122,0.10928085135715414
Router7,0.09217877094972067,6.966511060319111,0.23741171036707212,0.06060606060606061,0.23484848484848486,0.15626125669283458
Router8,0.0953757225433526,7.047212814705076,0.24994244110141328,0.06060606060606061,0.23484848484848486,0.16019317727482785
Router9,0.0953757225433526,7.047212814705076,0.24994244110141328,0.06060606060606061,0.23484848484848486,0.16019317727482785
