Router,Betweenness
Publisher1,0.0
Publisher2,0.0
Router1,0.0
Router10,0.34090909090909094
Router11,0.34090909090909094
Router12,0.34090909090909094
Router13,0.4393939393939394
Router14,0.4393939393939394
Router15,0.4393939393939394
Router16,0.5303030303030303
Router17,0.5303030303030303
Router18,0.5303030303030303
Router19,0.6136363636363636
Router2,0.0
Router20,0.6136363636363636
Router21,0.6136363636363636
Router22,0.6893939393939394
Router23,0.6893939393939394
Router24,0.6893939393939394
Router25,0.7575757575757576
Router26,0.7575757575757576
Router27,0.7575757575757576
Router28,0.8181818181818182
Router29,0.8181818181818182
Router3,0.0
Router30,0.8181818181818182
Router31,0.8712121212121212
Router32,1.4507575757575757
Router4,0.12121212121212122
Router5,0.12121212121212122
Router6,0.12121212121212122
Router7,0.23484848484848486
Router8,0.23484848484848486
Router9,0.23484848484848486
