timestamp,timestamp,timestamp,timestamp,timestamp,timestamp,timestamp
2025-12-05T21:47:21.897548,0,R7,0.724143541,R19,0.597821973,
2025-12-05T21:47:21.923155,1,R7,0.824983054,R19,0.587089755,
2025-12-05T21:47:21.945285,2,R7,0.804451092,R19,0.57154515,
2025-12-05T21:47:21.968297,3,R7,0.785813636,R19,0.557664269,
2025-12-05T21:47:21.990901,4,R6,0.776553413,R12,0.539466119,
2025-12-05T21:47:22.012365,5,R7,0.75645834,R19,0.526869116,
2025-12-05T21:47:22.034004,6,R7,0.737778939,R19,0.513595972,
2025-12-05T21:47:22.064625,7,R7,0.723424434,R17,0.497026059,
2025-12-05T21:47:22.087636,8,R7,0.701851034,R19,0.482962213,
2025-12-05T21:47:22.106901,9,R7,0.7,R19,0.473292376,
2025-12-05T21:47:22.125667,10,R7,0.7,R19,0.465518414,
2025-12-05T21:47:22.145774,11,R7,0.7,R19,0.451561072,
2025-12-05T21:47:22.166450,12,R6,0.7,R19,0.438828866,
2025-12-05T21:47:22.188833,13,R7,0.7,R19,0.430069353,
2025-12-05T21:47:22.210085,14,R7,0.7,R19,0.423291875,
2025-12-05T21:47:22.232550,15,R7,0.7,R19,0.42432205,
2025-12-05T21:47:22.252309,16,R7,0.7,R18,0.425502989,
2025-12-05T21:47:22.272992,17,R7,0.7,R19,0.427809931,
2025-12-05T21:47:22.293384,18,R7,0.7,R19,0.430061978,
2025-12-05T21:47:22.313847,19,R12,0.7,R19,0.431699536,
2025-12-05T21:47:22.334753,20,R7,0.7,R19,0.433651851,
2025-12-05T21:47:22.355258,21,R7,0.7,R19,0.435328926,
2025-12-05T21:47:22.376350,22,R7,0.7,R19,0.4368974,
2025-12-05T21:47:22.397271,23,R12,0.7,R19,0.438544903,
2025-12-05T21:47:22.420160,24,R7,0.7,R19,0.44019284,
2025-12-05T21:47:22.439970,25,R7,0.7,R19,0.441188848,
2025-12-05T21:47:22.464116,26,R7,0.7,R19,0.442107351,
2025-12-05T21:47:22.487583,27,R7,0.7,R19,0.442847668,
2025-12-05T21:47:22.511182,28,R11,0.7,R19,0.443695671,
2025-12-05T21:47:22.532889,29,R7,0.7,R16,0.444625989,
2025-12-05T21:47:22.557663,30,R7,0.7,R19,0.445424618,
2025-12-05T21:47:22.583511,31,R7,0.7,R19,0.446388421,
2025-12-05T21:47:22.611162,32,R14,0.7,R19,0.447970022,
2025-12-05T21:47:22.638087,33,R7,0.7,R19,0.448757835,
2025-12-05T21:47:22.659264,34,R7,0.7,R17,0.449615191,
2025-12-05T21:47:22.680921,35,R7,0.7,R19,0.450854187,
2025-12-05T21:47:22.699731,36,R5,0.7,R19,0.452309622,
2025-12-05T21:47:22.718542,37,R7,0.7,R19,0.453708641,
2025-12-05T21:47:22.744618,38,R7,0.7,R19,0.455064251,
2025-12-05T21:47:22.763860,39,R7,0.7,R19,0.455837226,
2025-12-05T21:47:22.787648,40,R7,0.7,R19,0.456641582,
2025-12-05T21:47:22.807682,41,R7,0.7,R19,0.457295326,
2025-12-05T21:47:22.829369,42,R13,0.7,R19,0.458202974,
2025-12-05T21:47:22.849050,43,R7,0.7,R14,0.459207368,
2025-12-05T21:47:22.867958,44,R7,0.7,R19,0.460302102,
2025-12-05T21:47:22.889653,45,R7,0.7,R19,0.461069779,
2025-12-05T21:47:22.913188,46,R9,0.7,R19,0.461882817,
2025-12-05T21:47:22.934640,47,R7,0.7,R19,0.462879567,
2025-12-05T21:47:22.957059,48,R7,0.7,R19,0.46356967,
2025-12-05T21:47:22.978136,49,R8,0.7,R18,0.464195853,
