Router,Closeness,Reach_raw,Reach_norm,Degree,Betweenness,CMBA
Publisher1,0.36666666666666664,5.75,0.3008474576271187,0.09090909090909091,0.0,0.18960580380071906
Publisher2,0.36666666666666664,5.75,0.3008474576271187,0.09090909090909091,0.0,0.18960580380071906
Router1,0.25,4.566666666666666,0.0,0.09090909090909091,0.0,0.08522727272727273
Router10,0.55,8.5,1.0,0.45454545454545453,1.6727272727272726,0.9193181818181817
Router2,0.25,4.566666666666666,0.0,0.09090909090909091,0.0,0.08522727272727273
Router3,0.25,4.566666666666666,0.0,0.09090909090909091,0.0,0.08522727272727273
Router4,0.3235294117647059,5.733333333333333,0.29661016949152547,0.18181818181818182,0.36363636363636365,0.29139853167769425
Router5,0.3235294117647059,5.733333333333333,0.29661016949152547,0.18181818181818182,0.36363636363636365,0.29139853167769425
Router6,0.3235294117647059,5.733333333333333,0.29661016949152547,0.18181818181818182,0.36363636363636365,0.29139853167769425
Router7,0.4230769230769231,6.666666666666667,0.5338983050847459,0.18181818181818182,0.6545454545454545,0.44833471613132636
Router8,0.4230769230769231,6.666666666666667,0.5338983050847459,0.18181818181818182,0.6545454545454545,0.44833471613132636
Router9,0.4230769230769231,6.666666666666667,0.5338983050847459,0.18181818181818182,0.6545454545454545,0.44833471613132636
