Router,CMBA
Publisher1,0.18960580380071906
Publisher2,0.18960580380071906
Router1,0.08522727272727273
Router10,0.9193181818181817
Router2,0.08522727272727273
Router3,0.08522727272727273
Router4,0.29139853167769425
Router5,0.29139853167769425
Router6,0.29139853167769425
Router7,0.44833471613132636
Router8,0.44833471613132636
Router9,0.44833471613132636
