Router,Closeness
Publisher1,0.36666666666666664
Publisher2,0.36666666666666664
Router1,0.25
Router10,0.55
Router2,0.25
Router3,0.25
Router4,0.3235294117647059
Router5,0.3235294117647059
Router6,0.3235294117647059
Router7,0.4230769230769231
Router8,0.4230769230769231
Router9,0.4230769230769231
