SimulationID,Router,Closeness,Reach_norm,Degree,Betweenness,CMBA,Average_CMBA
baseline_iter_1,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_2,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_3,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_4,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_5,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_6,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_7,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_8,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_9,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_10,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_11,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_12,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_13,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_14,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_15,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_16,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_17,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_18,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_19,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_20,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_21,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_22,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_23,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_24,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_25,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_26,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_27,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_28,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_29,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_30,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
baseline_iter_31,Router10,0.55,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816,0.3144509459190416
