Router,Closeness,Reach_raw,Reach_norm,Degree,Betweenness,CMBA
Router10,0.55,8.5,1.0,0.4545454545454545,1.6727272727272726,0.9193181818181816
Router7,0.4230769230769231,6.666666666666667,0.5338983050847459,0.1818181818181818,0.6545454545454545,0.4483347161313263
Router9,0.4230769230769231,6.666666666666667,0.5338983050847459,0.1818181818181818,0.6545454545454545,0.4483347161313263
Router8,0.4230769230769231,6.666666666666667,0.5338983050847459,0.1818181818181818,0.6545454545454545,0.4483347161313263
Router4,0.3235294117647059,5.733333333333333,0.2966101694915254,0.1818181818181818,0.3636363636363636,0.2913985316776942
Router6,0.3235294117647059,5.733333333333333,0.2966101694915254,0.1818181818181818,0.3636363636363636,0.2913985316776942
Router5,0.3235294117647059,5.733333333333333,0.2966101694915254,0.1818181818181818,0.3636363636363636,0.2913985316776942
Publisher1,0.3666666666666666,5.75,0.3008474576271187,0.0909090909090909,0.0,0.189605803800719
Publisher2,0.3666666666666666,5.75,0.3008474576271187,0.0909090909090909,0.0,0.189605803800719
Router1,0.25,4.566666666666666,0.0,0.0909090909090909,0.0,0.0852272727272727
Router2,0.25,4.566666666666666,0.0,0.0909090909090909,0.0,0.0852272727272727
Router3,0.25,4.566666666666666,0.0,0.0909090909090909,0.0,0.0852272727272727
