Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
FACR,11,0.0,0.0007316261232839697,0.75
FACR,12,1.0752688172043012,0.0010165854206235856,0.7528409090909091
FACR,13,1.0101010101010102,0.0006321803879274326,0.7578125
FACR,14,0.9090909090909091,0.000836935917353162,0.75
FACR,15,0.8264462809917356,0.0004923232133843024,0.75
Rdm,1,0.0,0.006151315669667422,0.65625
Rdm,2,0.0,0.002625734587108742,0.71875
Rdm,3,0.0,0.0010607075261234288,0.7083333333333334
Rdm,4,0.0,0.0011725285260138069,0.7421875
Rdm,5,0.0,0.00036595238360061114,0.725
Rdm,6,0.0,0.0014662375831039315,0.7291666666666666
Rdm,7,0.0,0.0004715976470048064,0.7291666666666666
Rdm,8,0.0,0.0014319645932400137,0.7321428571428571
Rdm,9,0.0,0.0005245591789083275,0.73828125
Rdm,10,0.0,0.0007237235347521203,0.73828125
Rdm,11,0.0,0.0007416124869788916,0.73828125
Rdm,12,0.9900990099009901,0.0003262646024296028,0.73828125
Rdm,13,0.9259259259259258,0.0005860380504041827,0.7430555555555556
Rdm,14,1.7699115044247788,0.0008409829534805155,0.753125
Rdm,15,1.694915254237288,0.0007137322909205709,0.753125
RandomForest,1,0.0,0.011410557409214456,0.8125
RandomForest,2,0.0,0.003021745985638956,0.828125
RandomForest,3,0.0,0.004664409705539249,0.8020833333333334
RandomForest,4,0.0,0.0029598907149492953,0.8020833333333334
RandomForest,5,0.0,0.0018242087019464408,0.78125
RandomForest,6,0.0,0.001965978410085984,0.75
RandomForest,7,0.0,0.0018686453068265743,0.75
RandomForest,8,0.0,0.0002684758408342459,0.7366071428571429
RandomForest,9,0.0,0.0007764046435183215,0.7421875
RandomForest,10,0.0,0.0005723085288865644,0.7534722222222222
RandomForest,11,0.0,0.00032405993473336956,0.7534722222222222
RandomForest,12,0.0,0.0005535814791673331,0.75
RandomForest,13,0.0,0.0001386369200096157,0.75
RandomForest,14,0.0,0.0008634960128291066,0.75
RandomForest,15,0.0,0.0001345384139120618,0.7414772727272727
