episode,steps,episode_reward_sum,episode_reward_avg,episode_loss_avg,epsilon
1,100,0.0,0.0,0.00039575519713253016,0.8307187014821328
2,100,0.0,0.0,6.74438192217508e-05,0.5032248303978422
3,100,0.0,0.0,7.737746519069333e-05,0.30483872516307353
4,100,0.0,0.0,7.466643541420126e-05,0.1846622876013121
5,100,0.0,0.0,8.553932088375404e-05,0.11186295456362313
6,100,0.0,0.0,8.19765846864584e-05,0.0677632708131484
7,100,0.0,0.0,8.283160385644806e-05,0.05
8,100,0.0,0.0,9.397236645327212e-05,0.05
9,100,0.0,0.0,0.00010776887975907812,0.05
10,100,0.0,0.0,0.0001017993857840338,0.05
